[DEBUG   | Chave_serial| measure_energy ] --> Energy at 1 from START sec is 147.1 WH
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ1 has 7.69230769231% hosts actives
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ2 has 0.0% hosts actives
[INFO    | Chave_serial| choose_az_for_vm_replica ] --> VM i-DE9842F4 (from AZ3) will be replicated for AZ1
[INFO    | Chave_serial| best_host ] --> 	AZ1	 Best host for i-DE9842F4-replica (vcpu:1) is NODE0 (cpu:22.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-DE9842F4 t:replica, az:AZ3
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-DE9842F4 in h:NODE0 t:replica az:AZ1
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 3
[INFO    | Chave_serial| region_replication ] --> 	lc0	 Allocated REPLICA i-DE9842F4 on AZ1
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ1 has 7.69230769231% hosts actives
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ2 has 0.0% hosts actives
[INFO    | Chave_serial| choose_az_for_vm_replica ] --> VM i-FC33416A (from AZ3) will be replicated for AZ1
[INFO    | Chave_serial| best_host ] --> 	AZ1	 Best host for i-FC33416A-replica (vcpu:1) is NODE0 (cpu:21.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-FC33416A t:replica, az:AZ3
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-FC33416A in h:NODE0 t:replica az:AZ1
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 4
[INFO    | Chave_serial| region_replication ] --> 	lc0	 Allocated REPLICA i-FC33416A on AZ1
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-FB033EF9-regular (vcpu:4) is NODE2 (cpu:12.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-FB033EF9 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-FB033EF9 in h:NODE2 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 24
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 7 s gt: 7
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 7 from START sec is 615.27 WH
